id,title,link,published,summary,author
45,Crecen 6.7% exportaciones de México a EU,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761159,"Wed, 04 Sep 2019 11:02:39 CDT","El valor de las exportaciones de México a EU repuntó 6.7 por ciento en julio, con lo que sumó 33 meses con avances a tasa anual.",Ernesto Sarabia
46,Multan a YouTube con 170 mdd por recabar datos de niños,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761077,"Wed, 04 Sep 2019 08:44:51 CDT","Comisión de Comercio de EU multó a YouTube, sitio de Google, con 170 mdd por recopilar datos de niños sin el consentimiento de sus padres.",AP
47,Crece 21% tráfico aéreo de VivaAerobus,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761274,"Wed, 04 Sep 2019 12:37:54 CDT","El mes pasado, VivaAerobus transportó a un millón 170 mil pasajeros, 20.8 por ciento más que en igual mes de 2018.",Azucena Vásquez
48,Prevén mayor caída de PIB argentino,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761120,"Wed, 04 Sep 2019 09:58:58 CDT","Encuesta del Banco Central de Argentina mostró que economistas prevén que el PIB caerá 1.1% en 2019, y un tercer año de contracción en 2020.",Bloomberg
49,Mantendría BCE política monetaria laxa,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761058,"Wed, 04 Sep 2019 08:44:51 CDT","Christine Lagarde dijo que el BCE necesita una política monetaria expansiva por largo tiempo, pero también un enfoque en cambio climático.",Reuters
50,Sufre Johnson derrota en Parlamento,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761498,"Wed, 04 Sep 2019 15:43:40 CDT","Parlamento de Reino Unido rechazó propuesta del Premier Boris Johnson de adelantar elecciones, tras votar contra sus planes sobre Brexit.",REFORMA / Redacción
51,Enfrentan rescatistas daños de 'Dorian',http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761456,"Wed, 04 Sep 2019 14:54:09 CDT",Equipos de rescate en las Bahamas se abrieron paso este miércoles entre casas destruidas e inundadas tras el paso del huracán 'Dorian'.,AP
52,Protestan en Argentina por crisis,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761396,"Wed, 04 Sep 2019 13:54:32 CDT",Organizaciones sociales salieron a las calles de Argentina para protestar que se declare la emergencia alimentaria en el país.,AP
53,Sufren trastorno niños migrantes en EU,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761187,"Wed, 04 Sep 2019 11:06:42 CDT",Los menores migrantes separados de sus padres en la frontera de México y EU sufrieron estrés postraumático y otros trastornos según informe.,AP
54,Pide ONU a México dialogar con sociedad,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761134,"Wed, 04 Sep 2019 10:51:38 CDT","A un año de tomar el cargo, la Alta Comisionada de ONU, Michelle Bachelet, pidió a México dialogar con sociedad civil para aliviar crisis.",EFE
55,Denuncia Huawei campaña maligna de EU,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761397,"Wed, 04 Sep 2019 13:58:11 CDT","Huawei acusó a Gobierno de EU de tener campaña en su contra, que incluye intimidaciones, detenciones ilegales y campañas de desprestigio.",REFORMA/Redacción
56,Atacan casa de otra candidata colombiana,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761275,"Wed, 04 Sep 2019 12:41:05 CDT","Tras asesinato de candidata a Alcaldía en Colombia, ocurrió un atentado, sin víctimas, contra casa de Betsaida Montejo, también candidata.",EFE
57,Retira Hong Kong proyecto de extradición,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761042,"Wed, 04 Sep 2019 05:59:41 CDT","La líder de Hong Kong, Carrie Lam, anunció la retirada definitiva del proyecto de ley de extradición que originó multitudinarias protestas.",EFE
58,Reabre aeropuerto pese a 'Dorian',http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761139,"Wed, 04 Sep 2019 10:51:38 CDT","Pese a cercanía de huracán ""Dorian"", en Florida reabrió el aeropuerto de Orlando y los parques temáticos regresaron a sus horarios normales.",AP y EFE
