Page,Codename,URL,"Total Interactions",Likes,Comments,Shares,"Owned Post Views","Owned Views from Shares","Owned Total Views","Percentage Views from Owned Posts","Views on Shared Posts","Views While Live","Video Time","3-Min+ Videos",Loves,Wows,Hahas,Sads,Angrys,"All Interaction Rate",Photos,Links,Statuses,"Facebook Videos","Other Videos","Total Posts","Photo Posts","Link Posts","Status Posts","Owned Video Posts","Shared Video Posts","Other Video Posts","Posts Per Day","Page Likes","Page Growth","Page Growth %"
MVSNoticias,MVSNoticias,http://www.facebook.com/163465747027375,"4,791,758","1,787,751","557,131","1,038,616","20,780,617","4,559,108","25,339,725",82%,"2,225,006.00","1,274,644",58:49:22,185,"204,171","196,426","579,896","95,091","332,676",0.01%,0.02%,0.01%,0.01%,0.01%,0.00%,23621,589,18514,196,3907,410,5,64.72,"1,717,978","9,399.00",0.55%
Expansión,ExpansionMex,http://www.facebook.com/111658075531636,"4,630,736","2,052,908","363,697","1,016,165","17,922,605","1,389,408","19,312,013",93%,"57,193.00","943,134",20:12:06,104,"272,234","222,322","400,415","75,410","227,585",0.02%,0.01%,0.02%,0.03%,0.02%,0.00%,12774,512,11459,30,743,11,19,35.00,"2,149,646","-10,874.00",-0.50%
"El Heraldo de México",elheraldomexico,http://www.facebook.com/211358622680390,"4,482,262","1,555,170","504,755","1,327,873","27,356,075","9,140,106","36,496,181",75%,"1,421.00","2,927,321",79:07:50,170,"232,830","182,898","338,256","107,097","233,383",0.05%,0.08%,0.05%,0.00%,0.04%,0.01%,34668,1907,23901,51,8709,6,94,94.98,"321,575","99,518.00",44.82%
reforma.com,reforma,http://www.facebook.com/62398583826,"4,234,774","1,182,545","645,111","1,014,647","2,823,470","1,458,280","4,281,750",66%,"134,181.00","377,716",13:41:59,122,"143,695","95,355","665,189","48,739","439,493",0.04%,0.02%,0.04%,0.00%,0.04%,0.01%,10532,762,9049,2,462,48,209,28.85,"998,118","36,273.00",3.77%
"Milenio Televisión",mileniotelevision,http://www.facebook.com/303520409197,"4,083,538","1,172,678","732,782","1,287,165","64,285,016","38,223,489","102,508,505",63%,"1,704,435.00","7,334,069",263:31:25,"2,154","144,828","151,767","276,671","82,062","235,585",0.04%,0.02%,0.04%,0.01%,0.04%,0.00%,15145,103,6870,14,7858,290,10,41.49,"755,788","162,808.00",27.46%
UnoNoticias,UnoTVNoticias,http://www.facebook.com/148786388488561,"4,030,367","1,530,546","302,079","1,093,005","25,970,962","5,875,910","31,846,872",82%,"149,090.00","228,185",56:56:06,176,"174,967","233,163","251,163","156,780","288,664",0.02%,0.01%,0.02%,0.00%,0.02%,0.00%,11293,258,9065,2,1949,16,3,30.94,"1,769,242","123,007.00",7.47%
"VICE en Español",viceenespanol,http://www.facebook.com/1563963870531978,"3,327,523","1,241,464","202,732","863,839","43,936,281","12,858,032","56,794,313",77%,823.00,0,17:57:42,106,"307,419","131,204","468,306","63,035","49,524",0.05%,0.02%,0.05%,0.01%,0.21%,0.01%,4387,135,3918,52,280,1,1,12.02,"1,902,087","953,819.00",100.59%
"La Voz de la Frontera",lavozdelafrontera,http://www.facebook.com/172566056100522,"3,306,513","1,383,490","282,157","730,332","21,037,519","5,991,775","27,029,294",78%,"371,590.00","1,115,685",27:00:24,88,"184,135","288,767","179,426","142,801","115,405",0.07%,0.04%,0.07%,0.02%,0.13%,0.00%,23234,2930,17822,288,2061,121,12,63.65,"231,228","50,976.00",28.28%
"Hoy Estado de México",HoyEstado,http://www.facebook.com/182551678518308,"3,269,493","1,057,395","182,022","1,048,243","3,525,183","3,054,284","6,579,467",54%,"25,099.00","281,575",02:57:02,17,"87,744","264,465","224,846","101,903","302,875",0.07%,0.04%,0.07%,0.04%,0.14%,0.08%,9839,103,9224,19,255,21,201,26.96,"492,419","27,442.00",5.90%
"La Teja",latejaoficial,http://www.facebook.com/439253709502387,"3,047,157","1,143,807","521,070","485,999","2,689,009","581,191","3,270,200",82%,0.00,"416,829",14:49:43,76,"136,270","113,999","381,222","145,710","119,080",0.06%,0.04%,0.07%,0.01%,0.07%,--,15994,8696,6861,28,409,0,0,43.82,"358,356","40,981.00",12.91%
